Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Population,Continent
Cyprus,52000,0.05%,681.2,7.04,1.86,875899,Europe
Paraguay,51000,0.05%,115.4,5.3,1.4,7132530,South America
Uzbekistan,49000,0.05%,23.9,3.39,0.9,33469199,Asia
Senegal,49000,0.05%,50.1,5.39,1.42,16743930,Africa
Cambodia,48000,0.05%,46.7,5.78,1.53,16718971,Asia
Malta,47000,0.05%,1652.2,5.28,1.4,441539,Europe
Nepal,43000,0.04%,24.2,5.39,1.42,29136808,Asia
Mozambique,40000,0.04%,22.0,4.94,1.3,31255435,Africa
Cameroon,40000,0.04%,25.6,3.93,1.04,26545864,Africa
Kyrgyzstan,40000,0.04%,100.9,3.14,0.83,6524191,Asia
Latvia,37694,0.04%,292.7,8.28,2.19,1886202,Europe
Papua New Guinea,37001,0.04%,68.6,5.87,1.55,8947027,Oceania
Nicaragua,37000,0.04%,90.0,5.18,1.37,6624554,North America
Benin,36000,0.04%,50.8,3.63,0.96,12123198,Africa
Afghanistan,35000,0.04%,15.2,3.62,0.96,38928341,Asia
Bosnia and Herzegovina,35000,0.04%,158.4,6.55,1.73,3280815,Europe
Georgia,33000,0.03%,126.0,5.04,1.33,3989175,Asia
Uganda,32001,0.03%,12.4,5.7,1.51,45741000,Africa
Estonia,28855,0.03%,336.0,8.35,2.21,1326539,Europe
Mauritius,28000,0.03%,340.2,6.36,1.68,1271767,Africa
Albania,27000,0.03%,143.4,8.0,2.11,2877800,Europe
Namibia,26000,0.03%,169.0,4.8,1.27,2540916,Africa
Zimbabwe,24000,0.03%,26.2,6.13,1.62,14862927,Africa
Burkina Faso,23000,0.02%,18.9,4.33,1.14,20903278,Africa
Haiti,23000,0.02%,32.5,2.18,0.58,11402533,North America
Mali,21999,0.02%,18.8,4.61,1.22,20250834,Africa
Zambia,22000,0.02%,20.6,5.59,1.48,18383956,Africa
Tajikistan,21000,0.02%,37.2,5.94,1.57,9537642,Asia
Mongolia,21000,0.02%,105.3,4.67,1.23,3278292,Asia
Botswana,21000,0.02%,149.0,4.29,1.13,2351625,Africa
North Macedonia,21000,0.02%,154.7,7.12,1.88,2083380,Europe
Gabon,21000,0.02%,160.3,3.65,0.97,2225728,Africa
Bahamas,20036,0.02%,812.7,6.48,1.71,393248,North America
Guinea,19001,0.02%,24.8,5.13,1.36,13132792,Africa
Iceland,19090,0.02%,880.9,9.83,2.6,341250,Europe
Madagascar,18000,0.02%,11.1,3.86,1.02,27691019,Africa
Laos,18000,0.02%,40.3,7.23,1.91,7275556,Asia
Moldova,18001,0.02%,67.9,6.75,1.78,4033963,Europe
